Header	Paragraphs
Why didn't I get my gold from a Sponsor's offer?	"['Watched an Ad and Missing Your Gold? Check Here!', ""Craving some free gold? Well, our Cash Shop is the gold mine you're looking for! Just scroll to the bottom, and voila! You can take on sponsor offers for some dazzling free gold. It's like a treasure hunt, but without the need to get your hands dirty!"", ""But what if you've completed an offer and your gold is nowhere to be found? Fear not, we've got a map to guide you:"", ""See, we at Highrise are great at many things, but handling gold from sponsors isn't our forte. So, you'll need to get in touch with the parent company, like Tapjoy or Fyber (not the game itself, like Mobile Strike). Luckily, you can reach them without leaving Highrise. Here's the secret path:"", ""Tap 'shop' (it's hiding in the bottom right-hand corner)."", ""At the shop, choose 'cash store'."", ""Now, scroll down to the very bottom where the offerwall partner offers are hanging out. Instead of a price, you'll see a welcoming 'Go'."", ""Hit 'Go' for the provider you used (like hitting the bullseye!)."", ""If your provider was IronSource, click 'in-progress'. If it's Tapjoy, hit the three lines in the top left corner and choose 'Reward Status'."", ""Tap on the offer that's still holding your gold hostage."", ""On the bottom left of this page, there's a 'missing gold' button. Give it a tap."", ""In the bottom left of the next page, you'll find a 'contact support' option. Tap this to send a support ticket to our offer partner. They'll play detective and help you unearth your missing gold."", ""Remember, the 'contact support' option will only appear after 24 hours on an 'in-progress' offer. So give them the lowdown on your gold woes, and they'll be on the case! Happy gold-digging!""]"
Why are Gold Bars more expensive than Gold?	"[""Ever wondered why Gold Bars carry a heftier price tag than Gold in Highrise? Well, it's time to spill the secrets:"", ""Gold Bars come with a 10% premium, like adding truffle oil to your french fries. So, if you're buying a 500G Gold Bar, it'll cost you 550 Gold from your vault. Why the price hike, you ask? Well..."", 'Gold Bars are the social butterflies of our virtual world; they love to be traded! Meanwhile, Gold prefers to stay put, a tad shy about being traded.', 'The extra cost of Gold Bars is like a superhero fighting inflation in Highrise. How? Well, every time a Gold Bar changes hands, it shape-shifts back into Gold, and poof! Gold vanishes from the economy. Fewer Gold floating around means lower prices for items. A win-win, right?', ""But wait, there's more! Gold Bars aren't just a currency; they're also fashionable decor! Want to flaunt your wealth or just looking for that perfect metallic touch for your room design? Gold Bars are ready for their close-up! So, they're not just pricier, but also fancier—a premium currency, if you will."", ""So, now you know the tale of why Gold Bars cost more. They're more than just shiny objects; they're the life of the party in Highrise's bustling economy!""]"
How do sales work?	"['Wondering Exactly How Are Sales Work? Check This Out!', ""Ever scratched your head, wondering how our spectacular sales work? Let's break it down for you, with the allure of a magic trick reveal!"", ""Our sales are like personalized fashion accessories, tailor-made just for you! They can pop up anytime, anywhere, and like a shooting star, they're here for a good time, not a long time. So when you see one, grab it! It's like finding a unicorn in a field of horses."", ""Here's the scoop on our various types of sales:"", 'Universal Sales: The big blockbusters! These are like all-you-can-eat buffets, available to every player in Highrise.', ""Targeted Sales: These are more like a secret handshake, meant for specific players based on secret-squirrel stuff we can't disclose."", ""Account-Specific Sales: These are the Cinderella's slipper of sales – unique and vanishing once purchased on any linked account."", ""We keep our criteria for targeted sales under wraps tighter than grandma's secret cookie recipe. But rest assured, our goal is to jazz up your Highrise experience, one sale at a time. Like an artist in a studio, we're always evaluating and fine-tuning our promotions to make sure we've got the best deals in town. So keep your eyes peeled for the next big thing!""]"
How does Tipping work?	"['Wondering How Our Tipping System Works? Check This Article Out to Find Out More!', ""Ever wonder what tipping is all about in Highrise? Well, think of it as a high-five, but with gold bars! It's our nifty little way to share the love with other players in the same room."", ""Here's your step-by-step guide to becoming a pro-tipper:"", ""Spot a player you'd like to tip? Just tap on them when you're both hanging out in the same room."", ""This will bring up their mini-profile menu, with options to wave, wink, or heart. But what's that shiny gold coin on the far right? that's the tipping option. Alternatively, you can hit the '+' symbol in a direct message and choose the 'Tip Gold' option."", 'Slide to show your generosity. You can tip gold bar values of 1G, 5G, 10G, 50G, 100G, 500G, 5,000G, or even a whopping 10,000G!', ""Don't have gold bars handy? No worries! You can morph your regular gold into gold bars right there in the tipping system. Just remember, the gold conversion taxman cometh, so a 500G tip, for example, will actually cost you 550G."", ""Don't want to hand your tip directly to another player? No worries, drop it in their tip jar to show some appreciation."", ""So go ahead, spread some gold love around! Tipping: it's just our way of making Highrise a little richer.""]"
What are Tip Jars?	"[""Ever heard of Tip Jars in Highrise? They're more than just fancy furniture – they're your ticket to raking in Gold tips, even while you're off adventuring. It's like a 'thank you' jar for hosting a stellar party or crafting the coolest room around!\u200b"", 'Setting Up Your Tip Jar:', 'Zip on over to the Shop >Collections Tip Jars! and pick your jar style!', 'Plop the Tip Jar in your room just like any other piece of furniture.', 'Stand back and watch as the gold starts rolling in!', 'Tipping a Tip Jar:', 'Tap on the Tip Jar you want to shower with gold.', ""Slide to select how much you're tipping in gold bars – anywhere from 1G to 10,000G!"", ""Out of gold bars? Don't sweat it! You can convert your regular gold right in the tipping system. But remember, conversion taxes do apply – a 500G tip will cost you 550G."", 'Adding a Message to Your Tip:', ""Got a tip of at least 100 Gold? Attach a message to it! Everyone can see your message on the Recent Tips screen of the room's Tip Jars."", ""If you're tipping 5,000 Gold or more, your message gets a fancy golden background and is announced to everyone in the room chat!"", 'Seen an Offensive Message?', 'Tap on the message in the Tip Jar and hit the Report button. Our Trust & Safety superheroes will swoop in to review it.', ""What's 'Top Tippers'? This section of the Tip Jar showcases the biggest gold-donators in the room, complete with their total Gold tipped!"", '', 'Collecting Your Gold:', ""When your Tip Jar has tips, it'll be filled with shiny gold coins! You can leave them there to show off, or hit the 'Claim' button to collect your gold."", 'If someone removes your Tip Jar, fear not! Your gold will be safely transported to your inventory.', 'So, ready to dip into the world of Tip Jars? You can grab one in the Furniture section of the Shop, and then set it up in any room you own. Remember, your Tip Jars, your rules!']"
What's our Compensation Policy for In-Ad Appearances?	"['See yourself in one of our ads? Check this out!', ""Your creations are dazzling, and we might just have used them in a Highrise advertisement. If so, you could be eligible for a shiny GOLD reward! Let's break it down:"", 'If your character\'s image, feed content, or a room you designed starred in an ad for less than 3 seconds, you\'re set for a 990 GOLD reward. It\'s like a ""blink and you\'ll miss it"" bonus!', ""If your creation held the spotlight for over 3 seconds, you're in for a whopping 3000 GOLD! Talk about a superstar salary!"", ""But, if you were just casually hanging out in public rooms when we caught you on camera, there's no GOLD reward for that cameo."", ""Remember, this policy is only for paid advertisements. So, our social media posts, 'Outfit of the Day', 'Room of the Day', 'HR Live Spotlight', and other unpaid content won't trigger the GOLD cascade."", ""Think you're eligible? Get in touch with Support and share a screenshot or clear reference of the ad where your content shone. We're waiting with bated breath (and a pot of GOLD)!""]"
What are Verified Resellers?	"['Check This Article Out to Learn More About Our Verified Sellers Program', 'Verified Resellers are officially sanctioned platforms to sell Highrise items or currency. Verified resellers work closely with Highrise to offer Gold Packs, SkyPass, sales, and more to a wider range of communities and regions. We will not penalize or suspend any accounts that purchase from a verified reseller.\u200b', 'While we support the efforts of our verified resellers, Highrise is not responsible for any transactions or issues that may arise on their platforms. We cannot guarantee the delivery of items or currency purchased through a verified reseller.\u200b', ""If you're interested in becoming a verified reseller, you can reach out to us at [email\xa0protected] if you have an established platform or a large community and would like to sell Highrise gold or items.\u200b"", 'Telegram Bot: @safezonehr_bot']"
What Is Earned Gold?	['Learn About Earned Gold and Earning Real Money From Your Highrise Creations!', 'Earned Gold is a flexible currency awarded to community creators. Item designers, room and World builders, bot creators, and hosts typically receive Earned Gold as compensation for enriching Highrise with their art, worlds and experiences.', '', 'Earned Gold can be used just like regular Gold: with it, you can spin grabs, trade, tip, and use it to buy items, Voice Tokens, Room Boost, and more.', 'However, unlike regular gold, Earned Gold can also be cashed out for real money. The current exchange rate is 750 Gold = $1 USD.', '', 'The only way to view how much Earned Gold you have is through the Creator Exchange on our Create Portal.', 'Right now, you cannot view your Earned Gold balance in either the mobile Highrise app, or on our website.', 'When you visit the Creator Exchange, you may view your total Earned Gold below the description for Cashout requirements. This number does not include your regular Gold.', 'Please note that, again, your total Earned Gold balance is only visible on the Creator Exchange! There is no way to view how much you have in either the mobile Highrise app or on our website highrise.game . Earned Gold displays as regular Gold in all other Highrise applications.', '', '', 'Whenever you use gold, payments will preferentially draw from your regular Highrise Gold before tapping into your Earned Gold. If you think of your gold wallet as a big bucket, imagine Earned Gold living at the bottom of the bucket: any purchase you make will scrape away gold from the top of the bucket before reaching your Earned Gold.', 'However, should you run out of regular gold, you will begin to draw on your Earned Gold funds!', 'There is no alert to notify you when you are using Earned Gold.', 'Please keep an eye on your Earned Gold in the Creator Exchange if you would prefer to save it up for a Cashout.', '', 'Earned Gold spent in Highrise will always function like regular gold. Anyone you Tip using Earned Gold will receive regular Gold.', 'Visit the Creator Exchange to set up an account and onboard with our payment processing partner, Tipalti.', 'Here are the overall requirements to Cashout your Earned Gold.', '', '', 'Before you can submit a Cashout Request for your Earned Gold, you’ll need to meet the following criteria:', 'Only one cash out request per calendar month: when planning your withdrawals, please bear in mind that processing your request may take up to 30 days. As such, we only support one cashout per user per month.', 'Be at least 13 years of age.', 'Have at least 35,000 Earned Gold in your account: the Earned Gold you currently own is displayed on the Cashout screen.', 'You may cash out less than 35,000 EG. However, you must exceed this minimum threshold before you can submit a withdrawal request.', 'Be in compliance with service requirements: use only your real information when creating an account through Tipalti. Fraudulent activity will result in a ban, with no additional recourse for withdrawing your pending funds.', 'Be in complete compliance with Highrise TOS and Community Guidelines: suspended and banned accounts are not eligible to cash out. Additionally, HR may deny a cash out request at the discretion of our Trust & Safety team.', 'Have a W-9 (for US taxpayers) or W-8 (for non-US taxpayers): when onboarding with Tipalti, you’ll need to have your identification ready.', 'Have a payable Tipalti account on file: tap the link to onboard with Tipalti. We’ll go over the onboarding steps in more detail below.', '', 'Before you start, have this information ready:', 'Your contact information, including your address.', 'Your payment information. Here are the payment options:', 'Direct Deposit / ACH or Wire Transfer: you’ll need your bank routing number and account number', 'Check: share your address to receive a physical check', 'PayPal: input the email address used for your PayPal account', 'Tax forms', 'For most US taxpayer individuals, you may use your Social Security Number (SSN) as your TIN (Tax ID Number).', 'For businesses, you may enter your EIN (Employer ID Number).', 'For non-US individual and business entities, you may complete and upload the W-8 8233 form provided by Tipalti.', 'Once you’ve accrued at least 35,000 Earned Gold, you may request a Cashout.', 'Cashouts require a minimum of 35,000 EG, but you may withdraw any amount below this threshold (ie, you own 40,000 and can cash out 30,000)', 'The current exchange rate is 750 Earned Gold = $1 USD.', 'You may only request a Cashout once per calendar month', 'After you submit your request, HR Staff will review your submission to ensure you meet our requirements (accurate payment information, good community standing, etc.)', 'Check the status of your Cashout request and review previous Cashouts by visiting Payment History on the Creator Exchange.', '', '', 'Processing your Cashout may take up to 30 days from the time you submit your Cashout request. Please be patient, but feel free to check in with our team if you notice any issues or unusual delays in your Cashout.', 'Most Earned Gold will be sent to you via your Inbox Gifts tab.', 'Earned Gold will labeled as such in your Gifts tab whenever you win a Concept, host an experience, achieve high Worlds engagement, or win a Highrise-sponsored competition.', '', '', 'In this example, we can see the difference between a regular 5G Gold Gift and a 5G Earned Gold Gift.', 'While your Earned Gold is distinguishable from regular Gold when you receive it, once you hit “CLAIM” it will enter your wallet and integrate with your other Gold funds. From that point forward, the only way to check your Earned Gold balance is on the Creator Exchange.', '', 'No; once you’ve submitted a Cashout request, there is no way to undo or edit your request. If you’ve made an error, please contact our Support team so we can clear your request and refund your Earned Gold.', '', 'After onboarding with Tipalti, you can update your information any time by visiting the Creator Exchange, and tapping on the link in the Cashout Requirements page that says “payable Tipalti account”.', '', 'No; you’ll have to onboard again. Old accounts are not transferrable, so please onboard with Tipalti again to get set up for Cashout.', '', 'No: you need a payable account with Tipalti to receive your funds. If you are unable to finish the onboarding process for any reason (no payment method, no tax ID) you may still use Earned Gold just like regular Gold in Highrise.', 'Please contact Support for any other issues!', '', 'Unfortunately, we can’t refund accidental purchases! Please be sure to check in on your total Earned Gold reservoir by visiting the Creator Exchange.', '', 'Lucky you - Earned Gold can be used just like regular Gold in Highrise. If you don’t want to bother with Tipalti, cashing out, or keeping track of how much Earned Gold you have, you can simply spend it as you normally would within the world of Highrise.', '']
How do I take screenshots in rooms?	"['Looking To Save a Precious Highrise Moment? Look No Further!', ""Got a legendary dance-off or an epic conversation you need to immortalize? Maybe you just want to show off that new pageant uniform? Highrise is your digital jungle, and we've got the perfect in-app camera for your safari!"", 'Spot a memorable moment in a room? Tap the camera icon in the upper right corner to freeze time and capture it forever.', ""Once you've got your shot, tap 'post' to share the love on your feed. You'll then hop over to a new page where you can add a snappy caption and some trendy hashtags for your picture to strut its stuff under."", 'Snap away and let the wild rumpus start!']"
How Do I Create Photo, Video, and Text Posts?	"['Need Some Help Creating Your First Post?', ""Ready to show off your IRL adventures and collect some sweet, sweet likes? Here's how to share your real-world snaps and jazz up your profile:"", ""Start on the Newsfeed page, on the top you'll see the options 'Text' for text posts and 'Photo' for Photo/Video posts."", ""If you're having issues, remember to give Highrise permission in your phone’s photo-sharing settings. If you're met with a blank 'Library' or 'Camera,' this permission probably has not been granted."", ""On your iPhone, iPod, or iPad, you can invite us in through Settings > Privacy. If you're on Team Android, go to Settings -> Privacy -> Permission Manager, and voila! Highrise can now access your photos and device storage."", ""Selected your photo or video or finished your text masterpiece? Just hit 'Share' in the top right-hand corner, and let the likes roll in!"", 'Snap away, and let the world of Highrise see your fabulous posts!']"
Why Was My Post Removed?	"[""Check this article out of you've had one of your posts removed."", 'Has your post been removed and you’re wondering why?', '', ""If our team finds your posts break our Community Guidelines, they'll take action and remove them. Not only will your post be removed, but you might also be issued a warning or suspension."", '', 'See a post that violates our Community Guidelines? Be our digital detective! Tap on the ellipses (three dots) at the top-right of the offending post to report it. Once a post has been reported our team will look into it and take appropriate action.']"
How Do I Edit My Privacy & Newsfeed Settings?	"['Looking to lock-down your profile? This article is for you.', 'When you first join Highrise, your profile is set to ""Public"". That means anyone and everyone can see your profile and posts. Don\'t fancy sharing your profile with everyone? Not to worry!', ""Navigate to your profile page, give the 'Edit Profile' button a click,"", ""On this page you'll see all your privacy settings, simply set them to the privacy levels you wish, and you're done!"", ""Oh, and remember, your followers? They're your biggest fans! They'll always see your latest posts popping up in their Newsfeed (and you'll see theirs). After all, it's only fair, right?""]"
How Do I Delete a Post or Comment?	"['Undo, Delete, and Vanish: Erasing Posts and Comments with a Flick of a Finger', ""Have you posted something a tad too cheeky or simply want a do-over? Hey, we've all been there – dancing thumbs, sly autocorrect, or just a sudden change of heart, right? No worries, we're the eraser to your pencil!"", '', ""Spot those three naughty dots (ellipsis icon) chilling at the top-right of your post? Give 'em a tap, then tap on the 'delete’ option."", ""Firmly press and hold on to your comment. A screen will pop up offering you a delete option. Tap it, and you're all done, your comment is now deleted.""]"
Owned Room Subscriptions	"['Detailed guide on managing monthly subscriptions for personalized 3D rooms, including creation, customization, and notifications.', 'Owned Room Subscriptions are a feature that allows you to maintain and customize your own 3D rooms within our virtual World. These subscriptions renew automatically each month, ensuring your space remains available for all your events and gatherings.', ""Subscribing to an Owned Room is a great way to ensure you have a personalized space that's always ready for you. Whether it's for regular gatherings, special events, or just a cool place to hang out with friends, an Owned Room subscription makes it easy and hassle-free."", 'Visit a World Profile: Start by heading to the World Profile you want to clone.', 'Tap the Block Icon: Click the block  icon next to the ENTER WORLD button to begin the room creation process.', ""Subscribe: If the World Creator has enabled subscriptions, you'll be prompted to pay a monthly fee."", ""Canceling a Subscription: To cancel, select 'Cancel Subscription' in the settings. Your room will stay active until the end of the billing period. You can also manually delete the room before it expires."", 'Renewing a Subscription: If you want to keep your room, simply renew the subscription before the expiry date.', ""You'll receive notifications for:"", 'Renewals: Confirmation when your subscription renews.', 'Insufficient Funds: Alerts if your subscription ends due to lack of funds, with a prompt to add more Gold.', 'Price Changes: Notifications about any changes in subscription pricing or policies.', 'Disabled Room Creation: Alerts if the World Creator disables room creation, affecting your subscription.', 'Consistent Access: Your room remains active and accessible, perfect for ongoing events or regular meet-ups.', 'Customization: Enjoy a higher level of customization to make your room truly unique.', 'Support Creators: Subscriptions help support the World Creators, allowing them to continue providing great content and experiences for everyone on Highrise.', 'Explore the possibilities with Owned Room Subscriptions and make the most out of your virtual adventures! ', '', ""Feel free to reach out to our support team with any questions or feedback. We're here to help you create the best experience possible!""]"
Owned Rooms	"['Create and customize your own 3D spaces in virtual Worlds for events and gatherings. Manage settings and subscriptions easily.', ""Owned Rooms are your very own 3D spaces within our virtual universe. Think of them as personalized copies of public Worlds that you can customize to fit any occasion. Whether you're hosting a private event, creating a cozy hangout spot, or setting up a themed party, Owned Rooms give you the freedom to tailor the experience to your liking."", 'Visit a World Profile: Head to the profile of the World you want to clone.\u200b', 'Tap the Block Icon: Find the block  icon next to the ENTER WORLD button and tap it to start creating your room.\u200b', 'Customize Your Room: As the owner, you can adjust key settings like:', 'Room Name', 'Language', 'Moderation Options', 'Visitor Controls: Decideho can enter, enable spectators, set the maximum capacity, and manage banned users.', ""Owned Rooms offer a unique way to enjoy our virtual universe. You can create special experiences, control who can join, and make sure everything runs smoothly. Plus, it's just fun to have your own space!"", ""While creating an Owned Room is generally free, some World Creators may charge a subscription fee. This fee supports the creator and unlocks even more customization options for you. If subscriptions are enabled, you'll be billed monthly, and you can manage your subscription through your profile settings."", '', 'Ready to dive in and create your own magical space? Start exploring Owned Rooms today! ']"
How do I create a new room?	"['Building Your Paradise: How to Create a Custom Room in Highrise', 'Heard of ""If you build it, they will come?"" Welcome to Highrise, where you\'re not just a resident, but the architect too! Fancy crafting a bohemian art studio? Or a chill pad for sofa-surfing with your buds? You\'re at the helm of building your own slice of paradise!', ""Here's your blueprint for erecting your dream room:"", ""Poke the 'Room' icon that's lounging at the bottom left-hand corner of your screen."", ""Now that you're inside a room, tap the'Travel' icon which is peeking from the top left-hand corner of your screen, then select 'My Rooms'.  You'll then see a '+' icon materialize. Don't keep it waiting, tap it!"", ""This is where you get your creative cap on. Pick your room's size and style, and scribble a description that will make MTV Cribs green with envy. To edit these, simply tap on each field."", ""Once you've set your room's ambiance, hit 'Create' and voilà! You're all set to start sprinkling your decorating magic dust!"", ""So, whether it's a Picasso's atelier or a laid-back man cave, we can't wait to see what your imagination brings to Highrise!""]"
How Do I Design My Room and Add More Furniture?	"['Creating Your Dream Space: Designing and Customizing Your Highrise Room with Style', ""Got your eye on some virtual IKEA-like swank? Got your creative juices flowing like a rushing waterfall? Well, let's turn your pixel pad into the plush palace of your dreams! If you're wondering where to snag that ritzy furniture, check this out.\u200b"", 'Sprinkle on some furniture', ""Flex your interior designer muscle by tapping the artsy pencil icon in the corner of your screen. Remember, you gotta be in a room where you're the boss of design!"", ""A fancy menu will pop up at the screen's bottom, revealing your glorious collection of furniture. Filter your furniture and floors/walls by giving those icons next to 'all' a friendly poke."", ""Can't find that exquisite Chesterfield sofa you own? Don't sweat, just type its name in the search bar. If you own it, we'll sniff it out!"", 'Now comes the fun part - play virtual dollhouse by dragging and dropping your furniture just where you want it!', 'Shuffle it up', ""Want to rearrange? Just grab that chic chair or fabulous painting and drag it around like it's dance night!"", 'Change the axes of movement in the Item Menu to move your items vertically or horizontally - the perfect trick for constructing those lofty towers!', 'Some items come with bonus features in the Item Menu:', '""Set Teleport Destination"" changes where players land via teleport or contact with moving items.', '""Set Speed"" is for the speedsters out there - the higher the number, the faster your items!', '""Change State"" is for the multi-taskers. Tap it to change the height of blocks, the state of the curtains, and more!', ""Once your room is looking more Pinterest than pixel, tap on the 'Save' icon in the upper right corner. If you suddenly get designer's remorse, hit 'exit' in the left corner to cancel all changes, or 'Undo' to reverse your last tweak."", ""Time to let your creativity run wild, we can't wait to see what magic you weave!"", '']"
Can I change my room size?	"['Customize Your Space: Changing Room Sizes in Highrise Made Simple', '', ""Dreaming of more elbow room or a change of scene? As the saying goes, when one door closes, another opens! Let's conjure up a fresh room from the virtual ether:"", ""Click on 'Rooms' in the top left-hand corner of your screen. Doesn't matter where you are, it's always there - like the north star!"", ""From there, march over to the 'My rooms tab' and give a hearty tap on 'Create a Room'."", ""But what if your room turns out like Goldilocks' porridge – too big or too small? Just consider it a room-sized eraser:"", 'Saunter over to your room description page, then take a detour to Edit > Basic Info > Delete Room. And there you go, your virtual canvas is pristine and ready for your next masterpiece!', ""Remember, it's your world, and we're just living in it. Now, go ahead and create that dream room!"", '']"
Who Can Enter My Room? How Can I Change My Room’s Privacy Settings?	"['Locking the Gates: Adjusting Room Access and Privacy Settings in Highrise', ""Tired of the common folk invading your space? Want to roll out the virtual red carpet for your VIP friends only? Or maybe you just need some 'me' time. Whatever it is, you've got the keys to your castle!\u200b"", ""Here's how to control your room's guest list:"", 'Mosey on over to the rooms directory, and choose ""My rooms"". Look for the \'!\' icon next to the room you want to tweak. Tap it, then hit \'Room Settings\'. Sounds like a secret spy code, right?', 'Now, you\'ll see the \'Access\' option. Give it a tap, and voila! You can choose who gets to party in your room, and who gets the virtual ""Do Not Disturb"" sign.', ""So, whether it's friends-only Fridays or solitaire Sundays, you're the boss. Remember, a good host knows when to open the door...and when to lock it!""]"
How Do I Moderate My Room or Give Other Users Moderation Privileges?	"['Creating a Safe Haven: How to Moderate and Delegate Moderation Privileges in Highrise', ""Got some online drama brewing? Feeling like a lone sheriff in a wild, wild, chatroom? Well, you're in luck because deputizing just got easy! Let's add some moderators to keep your bustling rooms as chill as an igloo."", 'Follow these steps to bring order to your room:', 'Enter your room settings like a boss – head to the rooms directory, select ""My rooms"", then tap the \'!\' icon next to the room you want to cool down. Next, tap on \'Room Settings\'.', 'Scroll down that page like you\'re on a treasure hunt until you spot the ""Moderation & Design"" section.', ""Click 'Add People.' You can now handpick players to become your personal peacekeepers with moderation rights, or give them the magic wand of designer privileges. Or, go wild and grant both!"", 'With the moderation rights, they can boot any rowdy rowdies from the room. All it takes is a tap on the player\'s avatar and a tap on ""Kick"" in the profile mini-menu popup. You can do this too, in any room you own or moderate.', 'So, sit back, relax, and let your deputies take care of the wild west!', '']"
How Do I Collaborate With Others When Designing My Room?	"['Teamwork Makes the Dream Work: How to Collaborate on Room Design in Highrise', ""Looking to set up those wobbly bookcases? Remember the buddy system – it's not just for field trips! Bring a friend (or two) along for the ride, and they can even bring their own furniture too – once you've given them Design Rights."", ""Here's how to turn room decorating into a party:"", ""Pop into Room Settings and give 'Moderation and Access' a tap."", ""Hit 'Add User', and it's search time! Hunt down that friend who's got the design skills of a pro."", ""Now you can both work on making that dream room a reality. They can play interior decorator anytime, changing up your room's look to their heart's content."", ""Just remember, your furniture sticks around until you decide to haul it out, and your friend's furniture stays put until they move it. It's like a sleepover - everyone brings their stuff, but they also take it back home. And while anyone with Design Rights can play musical chairs with the furniture, no one can take anyone else's items. So, let the decorating party begin!"", '']"
How Do I Add Music to My Room?	"['Rock the Room: Step-by-Step Guide to Adding Music in Your Highrise Room', ""Party without tunes? As exciting as watching paint dry, right? Or, perhaps you're seeking Zen and need the gentle strums of a mandolin wafting through your digital garden. Whatever your vibe, let's add some beats to your room!"", ""Here's your backstage pass to setting the soundtrack:"", ""Find your way to 'Room Settings'. You can either tap on the room name when you're standing in it or click the “i” icon next to the room name in your rooms list."", 'Hit ""Edit"" in the upper right corner. It\'s like the secret password to your room\'s control panel.', 'In the Basic Information tab, tap on the field labeled ""Radio."" It\'s not a time machine, but it\'ll sure feel like it when the music starts playing!', 'Search for Shoutcast radio stations and just tap on your chosen station. The music will start spinning automatically in your room, turning it into your private concert!', 'Feel like switching up the soundtrack later? Just dance back to this page to change the radio station. And if you\'re after some peace and quiet, head to ""Radio"" in Room Settings and tap ""Clear Music"" in the upper right corner.\u200b', 'Remember, the right tune can make your room, so choose your vibe and hit play!']"
How Do I Delete a Room?	"['Clearing the Canvas: How to Delete a Highrise Room', ""Ready for a room revamp? Or perhaps you're just in the mood for a good old decluttering? Let's tidy up that rooms list of yours."", ""Here's the secret recipe to room removal:"", ""Saunter into your 'Room Settings'. You can do this by tapping on the room name when you're in the room, or tap the “i” icon next to the room name when you're scanning your rooms list in the directory."", 'Next, tap ""Edit"" in the upper right corner. It\'s like a magic button to control your room\'s destiny.', ""Scroll to the bottom of the Basic Information tab, where you'll find the secret trap door, otherwise known as 'Delete Room'."", 'But wait! This step is as permanent as a tattoo, so think before you tap. All your furniture will be booted back to your inventory faster than you can say ""Spring cleaning!"" And if your friends left any of their stuff, it\'ll go back to their inventory too.', 'So, get ready, set, declutter!']"
What Are Crew Rooms?	"['Building Community: How to Create and Customize Crew Rooms in Highrise', ""Dreaming of a crew clubhouse? Longing for a joint project? Look no further than Crew Rooms! It's your favorite hangout spot, customized by your crew, perfect for just hanging or flexing your team's creative muscle in our build competitions!"", ""Ready to break ground? Here's how you set the stage:"", ""Stroll over to the Room Directory page. It's a click away on the little door icon at your screen's lower-left corner."", 'Tap ""My Rooms"" on the bottom bar - your own little corridor to all your rooming wonders.', 'At the screen\'s top, you\'ll see three tabs: ""My Rooms,"" ""Crew Rooms,"" and ""Favorites."" Go ahead, tap on the Crew Rooms tab. We dare ya!', 'Found the bottom of the Crew Room list? Great! Now hit ""Add Room."" Tada! You\'ve just made a Crew Room!', ""Think of this room as a shared clubhouse. Every crew member co-owns it and can play interior designer. Tweak who can enter and who can keep the peace under room settings. But, just like a real clubhouse, no nabbing each other's stuff! You can move any placed furniture, but only its owner can remove it.\u200b"", 'So gather your crew, pull out your virtual tools, and start constructing your cozy crew corner!']"
What Are Room Boosts?	"['Room Boost: Elevating Your Highrise Room to Stardom', ""Ever fantasized about your room getting VIP treatment? Being the first thing people see when they open the room's directory? Well, pinch yourself because you're not dreaming! Thanks to Room Boost, you can now buy boost tokens that'll rocket your room to stardom for a whole five minutes per token. Talk about a power move!\u200b"", ""What's that? You want more than just a five-minute fame? We've got you covered! With the re-boost feature, you can keep your room shining in the spotlight for as long as your gold reserves last (and we're pretty happy to keep taking that gold, wink wink). The best part? The more you boost, the higher your room climbs in the directory. So get boosting, and watch your room bask in the limelight!""]"
What are Directory Categories?	"['Find Your Perfect Room: Exploring Directory Categories in Highrise', 'Directory Categories allow you to sort rooms into different categories and then view those categories in the room directory. There are currently three categories: Chat, Games, and Trade.', '', 'Each of these categories is divided into subcategories:', 'Chat: Hangout, Roleplaying, Other', 'Games: Pageant, Color Run, Blocks, Cross the Line, Mafia, Races, Other', 'Trade: Auction, Storefront, User Grabs, Other', 'Do Directory Categories have any effect on gameplay?', 'No. You can continue to do whatever you want in these rooms. For example, you can still trade in a game room or host pageants in a trade room. The directory categories make it easier for you and other players to find rooms you may be interested in.', '', 'How do you see what subcategory a room is in?', 'You cannot currently see what subcategory a room is in. We intend to add this feature at a later date.', '', ""Are there any limits to how many times I can change a room's category or subcategory?"", ""Nope, you can change them as many times as you'd like!"", '', 'Where can I access Directory Categories?', 'You can find the category menu when creating a new room or editing an existing room. Please see the photos below:', '', '', 'In the directory, you can browse different categories by tapping the buttons highlighted below:', '', ""Help! I changed my room's category, but I can't find it in the directory. I've tried refreshing the directory multiple times, and I still can't see it. What should I do?\u200b"", ""Don't panic. It can take up to 1 minute for your changes to take effect. Please ensure one minute has passed and try refreshing your directory."", '', '']"
